DurationMonth,CreditAmount,score,age25,doc_id,query_id
0.470588235,0.568834599,0.7902802170000001,0,1,1
0.33823529399999996,0.8793881370000001,0.761418313,0,2,1
0.20588235300000002,0.7955320790000001,0.744449197,0,3,1
0.117647059,0.8147353359999999,0.731606027,0,4,1
0.20588235300000002,0.722020469,0.72302068,0,5,1
0.8235294120000001,0.637614174,0.72145307,0,6,1
0.117647059,0.962583911,0.7126011109999999,0,7,1
0.647058824,0.76037196,0.7114599909999999,1,8,1
0.33823529399999996,0.7281831190000001,0.710031333,0,9,1
0.235294118,0.778694839,0.700277015,1,10,1
0.029411765,0.966435567,0.6969018290000001,0,11,1
0.073529412,0.950258611,0.694348159,0,12,1
0.382352941,0.595796192,0.6936091409999999,0,13,1
0.8235294120000001,0.443380654,0.6930685390000001,0,14,1
0.029411765,0.9398591390000001,0.691957378,0,15,1
0.25,0.833553428,0.689963428,0,16,1
0.294117647,0.814515242,0.686877437,0,17,1
0.117647059,0.862550897,0.6862383790000001,0,18,1
0.294117647,0.66055904,0.6814902359999999,0,19,1
0.294117647,0.9460217890000001,0.6725840809999999,0,20,1
0.470588235,0.8913282709999999,0.671984466,0,21,1
0.382352941,0.429239573,0.670373801,0,22,1
0.33823529399999996,0.55606911,0.670258184,0,23,1
0.161764706,0.813304721,0.669780358,0,24,1
0.117647059,0.9743039509999999,0.668269955,0,25,1
0.20588235300000002,0.658413118,0.664675126,0,26,1
0.8235294120000001,0.20039617,0.663366,0,27,1
0.382352941,0.849180147,0.663230962,0,28,1
0.117647059,0.861945637,0.662869959,0,29,1
0.647058824,0.665401122,0.662783246,0,30,1
0.382352941,0.67332453,0.66152139,1,31,1
0.117647059,0.937107956,0.66134977,0,32,1
0.029411765,0.940959613,0.661154365,0,33,1
0.058823529000000006,0.949708375,0.66050206,0,34,1
0.602941176,0.363596346,0.66044109,0,35,1
0.8235294120000001,0.256850446,0.658365245,0,36,1
0.25,0.948387807,0.6570643979999999,0,37,1
0.20588235300000002,0.82546495,0.656994847,0,38,1
0.382352941,0.8937493120000001,0.656019024,0,39,1
0.117647059,0.907285133,0.655801338,0,40,1
0.294117647,0.9743039509999999,0.654590065,0,41,1
0.470588235,0.71151095,0.654033957,0,42,1
